p1                        p2     rg      se       z       p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
GWAS_tanning_UKBB.ma.sumstats.gz  ret_p_cam_2016.txt.sumstats.gz  0.0168  0.0184  0.9134  0.361  0.1685     0.0207  1.0134     0.0444   -0.0094       0.0054
GWAS_tanning_UKBB.ma.sumstats.gz  sbp_ukb_v1_2016.txt.sumstats.gz  0.0118  0.0221  0.5354  0.5924  0.1243     0.0074  1.0182     0.0073    -0.017       0.0042
GWAS_tanning_UKBB.ma.sumstats.gz  scz_pgc_2014.txt.sumstats.gz -0.0171  0.0154 -1.1106  0.2668  0.2435     0.0092  1.0354     0.0112      0.01       0.0045
GWAS_tanning_UKBB.ma.sumstats.gz  t2d_diagram_2017.txt.sumstats.gz  0.0068  0.0221  0.3067  0.7591  0.0777     0.0058  0.9996     0.0102    -0.005       0.0042
GWAS_tanning_UKBB.ma.sumstats.gz  tg_glgc_2013.txt.sumstats.gz -0.0354  0.0159 -2.2252  0.0261  0.2718     0.0581  0.7521     0.0362    0.0056       0.0048
GWAS_tanning_UKBB.ma.sumstats.gz  uc_iibdgc_2015.txt.sumstats.gz -0.0188  0.0362 -0.5204  0.6028  0.2622     0.0318  1.0439     0.0104    0.0008       0.0046
GWAS_tanning_UKBB.ma.sumstats.gz  ukbEUR_IPAQG_cojo.txt.sumstats.gz  0.0068  0.0214  0.3184  0.7502  0.0373     0.0017  1.0128     0.0075    0.0221        0.005
GWAS_tanning_UKBB.ma.sumstats.gz  ukbEUR_SI_cojo.txt.sumstats.gz  0.0122  0.015  0.8134  0.416  0.0988     0.0034  1.0305     0.0111    0.0277       0.0053
GWAS_tanning_UKBB.ma.sumstats.gz  wbc_cam_2016.txt.sumstats.gz -0.0104  0.0162 -0.6446  0.5192  0.1778      0.017  0.9601     0.0207   -0.0041       0.0044
GWAS_tanning_UKBB.ma.sumstats.gz  well_being_ssgac_2016.txt.sumstats.gz -0.0071  0.0298 -0.2392  0.811   0.037     0.0031  1.0002     0.0077    0.0143        0.005
GWAS_tanning_UKBB.ma.sumstats.gz  well_being_ssgac_2016_pruned.txt.sumstats.gz -0.0919  0.2338 -0.3929  0.6944  0.1929     0.0189  7.2128     0.0762    0.1092       0.1025
GWAS_tanning_UKBB.ma.sumstats.gz  whr_giant_2015.txt.sumstats.gz -0.0216  0.0174 -1.2419  0.2143  0.1013     0.0065  0.8286     0.0086   -0.0039        0.004
GWAS_tanning_UKBB.ma.sumstats.gz  whradjbmi_giant_2015.txt.sumstats.gz -0.0189  0.0173 -1.0923  0.2747  0.0923     0.0074  0.8526     0.0099   -0.0049       0.0042
bmi_giant_2015.txt.sumstats.gz  AD_meta2.smy.sumstats.gz -0.05  0.0497 -1.0054  0.3147  0.0069     0.0045  1.0745     0.0508    0.0059       0.0058
bmi_giant_2015.txt.sumstats.gz  GWAS_tanning_UKBB.ma.sumstats.gz -0.0022  0.014 -0.159  0.8736  0.1566      0.068  0.9783     0.0538   -0.0006       0.0043
bmi_giant_2015.txt.sumstats.gz  MEGASTROKE.1.AS.TRANS.out.sumstats.gz  0.1884  0.0333  5.6649  1.4713e-08  0.0123     0.0012  1.0448     0.0071    0.0055       0.0048
bmi_giant_2015.txt.sumstats.gz  META_ANALYSIS_10K23_beta_se_correctGC1_pdgene_sharing_280317.ma.sumstats.gz -0.0922  0.0362 -2.5436  0.011  0.0576     0.0093  0.9773      0.009  8.3299e-06       0.0049
bmi_giant_2015.txt.sumstats.gz  alzheimers_igap_2013.txt.sumstats.gz -0.0328  0.0548 -0.5974  0.5503  0.0463      0.019  1.0593      0.025    0.0054       0.0056
bmi_giant_2015.txt.sumstats.gz  amd_csg_2016.txt.sumstats.gz -0.0069  0.0253 -0.2738  0.7843  0.3848     0.1762  0.9184     0.0428    0.0031       0.0056
bmi_giant_2015.txt.sumstats.gz  asd_robinson_2015.txt.sumstats.gz -0.0078  0.0358 -0.2179  0.8275  0.1553     0.0186   0.966     0.0077    0.0025       0.0047
bmi_giant_2015.txt.sumstats.gz  baso_cam_2016.txt.sumstats.gz -0.0234  0.0286 -0.8178  0.4135  0.0697     0.0098  0.9959     0.0197    -0.004       0.0052
bmi_giant_2015.txt.sumstats.gz  baso_neut_sum_cam_2016.txt.sumstats.gz -0.0681  0.0236 -2.882  0.004  0.1549     0.0192  0.9526      0.023   -0.0025       0.0062
bmi_giant_2015.txt.sumstats.gz  baso_p_cam_2016.txt.sumstats.gz  0.0304  0.0301  1.0104  0.3123  0.0534     0.0094  1.0028     0.0206   -0.0047       0.0049
bmi_giant_2015.txt.sumstats.gz  baso_p_gran_cam_2016.txt.sumstats.gz  0.0344  0.0294  1.1718  0.2413  0.0556     0.0086  0.9979     0.0184   -0.0021        0.005
bmi_giant_2015.txt.sumstats.gz  bip_pgc_2014.txt.sumstats.gz -0.012  0.0326 -0.3669  0.7137   0.359     0.0321  1.0272     0.0081   -0.0048       0.0053
bmi_giant_2015.txt.sumstats.gz  bmi_giant_2015.txt.sumstats.gz  1.0  1.0610e-05  94246.453  0.0  0.1377     0.0077  0.6471     0.0095    0.6471       0.0095
bmi_giant_2015.txt.sumstats.gz  cad_cardiogram_2015.txt.sumstats.gz  0.2059  0.0276  7.4505  9.2960e-14  0.0664     0.0049  0.8823     0.0085    0.0084       0.0047
bmi_giant_2015.txt.sumstats.gz  cd_iibdgc_2015.txt.sumstats.gz  0.0105  0.0278  0.3768  0.7063   0.366     0.0463  1.0247     0.0122    0.0079       0.0052
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_ALLERGIC_RHINITIS_1000g_m01_u05_geno.txt.sumstats.gz  0.0215  0.0417  0.5156  0.6061  0.0222     0.0041  1.0028     0.0079   -0.0006       0.0048
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_ASTHMA_1000g_m01_u05_geno.txt.sumstats.gz  0.1869  0.0277  6.7385  1.6006e-11  0.0582      0.006  0.9987     0.0099   -0.0011       0.0047
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_CANCER_1000g_m01_u05_geno.txt.sumstats.gz -0.0323  0.0384 -0.8415  0.4001  0.0261     0.0045  0.9948     0.0087    0.0004       0.0048
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_CARD_1000g_m01_u05_geno.txt.sumstats.gz  0.2953  0.0389  7.5931  3.1234e-14  0.0308     0.0035  0.9984     0.0075   -0.0046        0.005
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_DEPRESS_1000g_m01_u05_geno.txt.sumstats.gz  0.0746  0.0438  1.705  0.0882  0.0243     0.0034  1.0052     0.0074   -0.0018       0.0051
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_DERMATOPHYTOSIS_1000g_m01_u05_geno.txt.sumstats.gz  0.195  0.0892  2.1869  0.0287  0.0171     0.0089  1.0021     0.0069    0.0039       0.0051
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_DIA2_1000g_m01_u05_geno.txt.sumstats.gz  0.4982  0.0402  12.3781  3.4324e-35  0.0495     0.0043  1.0467     0.0092   -0.0037       0.0052
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_DYSLIPID_1000g_m01_u05_geno.txt.sumstats.gz  0.2272  0.0365  6.222  4.9088e-10  0.0677     0.0084  1.0292     0.0176   -0.0082       0.0055
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_HEMORRHOIDS_1000g_m01_u05_geno.txt.sumstats.gz  0.0624  0.0589  1.059  0.2896  0.0102     0.0032  0.9994     0.0065    0.0024       0.0047
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_HERNIA_ABDOMINOPELVIC_1000g_m01_u05_geno.txt.sumstats.gz  0.0879  0.0465  1.8906  0.0587  0.0179     0.0038  1.0078      0.007   -0.0021       0.0046
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_HYPER_1000g_m01_u05_geno.txt.sumstats.gz  0.3341  0.0247  13.5175  1.2325e-41  0.1233     0.0062  1.0144     0.0105   -0.0034       0.0062
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_INSOMNIA_1000g_m01_u05_geno.txt.sumstats.gz  0.0829  0.0578  1.434  0.1516    0.01     0.0028   0.993     0.0068    0.0054       0.0045
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_IRON_DEFICIENCY_1000g_m01_u05_geno.txt.sumstats.gz  0.1923  0.0917  2.0975  0.036  0.0051     0.0026  1.0033     0.0064     0.006       0.0047
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_IRRITABLE_BOWEL_1000g_m01_u05_geno.txt.sumstats.gz  0.0276  0.0583  0.4745  0.6351  0.0108     0.0029  0.9994     0.0065    0.0009       0.0046
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_MACDEGEN_1000g_m01_u05_geno.txt.sumstats.gz  0.0314  0.0646  0.486  0.627  0.0129     0.0079  1.0079     0.0118    0.0012       0.0048
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_OSTIOA_1000g_m01_u05_geno.txt.sumstats.gz  0.3957  0.038  10.4104  2.2234e-25  0.0318     0.0036  1.0219     0.0074   -0.0048       0.0049
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_OSTIOP_1000g_m01_u05_geno.txt.sumstats.gz -0.2408  0.0394 -6.1051  1.0272e-09  0.0252     0.0036  1.0075     0.0074    0.0025       0.0048
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_PEPTIC_ULCERS_1000g_m01_u05_geno.txt.sumstats.gz  0.224  0.08  2.7989  0.0051  0.0076     0.0028  0.9961     0.0066    -0.003       0.0049
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_PSYCHIATRIC_1000g_m01_u05_geno.txt.sumstats.gz -0.0007  0.0486 -0.0149  0.9881  0.0171      0.003  1.0054     0.0068    0.0067       0.0049
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_PVD_1000g_m01_u05_geno.txt.sumstats.gz  0.3776  0.104  3.6308  0.0003  0.0076     0.0029  1.0134     0.0069   -0.0008       0.0049
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_STRESS_1000g_m01_u05_geno.txt.sumstats.gz  0.1331  0.0821  1.6204  0.1051  0.0054      0.003  0.9984     0.0067    0.0006       0.0046
bmi_giant_2015.txt.sumstats.gz  combined_ukb_gera_SUM_DISEASES_1000g_m01_u05_geno.txt.sumstats.gz  0.3846  0.0276  13.9163  5.0432e-44  0.0812     0.0046  1.0301     0.0089   -0.0068       0.0056
